+   10
-   11
*   12
/   13
%   14
=   15
!   16
&&  17
||  18
==  19
!=  20
<   21
>   22
<=  23
>=  24
[   30
]   31
{   32
}   33
(   34
)   35
,   36
;   37
'   38
If  40
While   41
For 42
Const   43
Int 44
Float   45
Else    46
Return  47
Void    48
Break   49
Continue    50
Char    51
Then    52
